gpuall: 6144.0 gpuused: 2387.0
cpu: 43.8%， 总memory: 16 占用率 60.1%， 使用: 9.58541488647461
gpuall: 6144.0 gpuused: 2387.0
cpu: 15.5%， 总memory: 16 占用率 60.1%， 使用: 9.575313568115234
gpuall: 6144.0 gpuused: 2388.0
cpu: 17.1%， 总memory: 16 占用率 60.0%， 使用: 9.565624237060547
gpuall: 6144.0 gpuused: 2388.0
cpu: 14.4%， 总memory: 16 占用率 60.0%， 使用: 9.559890747070312
gpuall: 6144.0 gpuused: 2388.0
cpu: 14.0%， 总memory: 16 占用率 60.0%， 使用: 9.557697296142578
gpuall: 6144.0 gpuused: 2388.0
cpu: 11.6%， 总memory: 16 占用率 60.0%， 使用: 9.559478759765625
cpu: 25.0%， 总memory: 16 占用率 45.3%， memory used: 7.214885711669922
cpu: 66.7%， 总memory: 16 占用率 45.3%， memory used: 7.215793609619141
[]
cpu: 37.5%， 总memory: 16 占用率 45.6%， memory used: 7.260303497314453
cpu: 0.0%， 总memory: 16 占用率 48.7%， memory used: 7.764842987060547
cpu: 23.8%， 总memory: 16 占用率 48.8%， memory used: 7.7764434814453125
cpu: 23.2%， 总memory: 16 占用率 48.8%， memory used: 7.7750091552734375
cpu: 29.4%， 总memory: 16 占用率 48.8%， memory used: 7.7752838134765625
cpu: 21.3%， 总memory: 16 占用率 48.8%， memory used: 7.776512145996094
cpu: 19.7%， 总memory: 16 占用率 48.8%， memory used: 7.7745819091796875
cpu: 18.1%， 总memory: 16 占用率 48.8%， memory used: 7.773914337158203
cpu: 17.7%， 总memory: 16 占用率 48.6%， memory used: 7.7512969970703125
cpu: 18.5%， 总memory: 16 占用率 48.6%， memory used: 7.750858306884766
cpu: 17.9%， 总memory: 16 占用率 48.6%， memory used: 7.7506103515625
cpu: 22.1%， 总memory: 16 占用率 48.6%， memory used: 7.750019073486328
cpu: 19.3%， 总memory: 16 占用率 48.6%， memory used: 7.749847412109375
cpu: 17.4%， 总memory: 16 占用率 48.6%， memory used: 7.749752044677734
cpu: 16.7%， 总memory: 16 占用率 48.6%， memory used: 7.749698638916016
cpu: 18.1%， 总memory: 16 占用率 48.6%， memory used: 7.74969482421875
cpu: 18.1%， 总memory: 16 占用率 48.6%， memory used: 7.749790191650391
cpu: 18.4%， 总memory: 16 占用率 48.6%， memory used: 7.750003814697266
cpu: 18.9%， 总memory: 16 占用率 48.6%， memory used: 7.749969482421875
cpu: 18.3%， 总memory: 16 占用率 48.6%， memory used: 7.7499542236328125
cpu: 18.4%， 总memory: 16 占用率 48.6%， memory used: 7.7499237060546875
cpu: 20.5%， 总memory: 16 占用率 48.6%， memory used: 7.752590179443359
cpu: 19.2%， 总memory: 16 占用率 48.6%， memory used: 7.752494812011719
cpu: 17.1%， 总memory: 16 占用率 48.6%， memory used: 7.752475738525391
cpu: 17.8%， 总memory: 16 占用率 48.6%， memory used: 7.752357482910156
cpu: 17.2%， 总memory: 16 占用率 48.6%， memory used: 7.752170562744141
cpu: 19.8%， 总memory: 16 占用率 48.6%， memory used: 7.7524261474609375
cpu: 17.3%， 总memory: 16 占用率 48.6%， memory used: 7.752296447753906
cpu: 16.5%， 总memory: 16 占用率 48.6%， memory used: 7.752147674560547
cpu: 17.5%， 总memory: 16 占用率 48.6%， memory used: 7.7520751953125
cpu: 19.0%， 总memory: 16 占用率 48.6%， memory used: 7.752025604248047
cpu: 21.5%， 总memory: 16 占用率 48.6%， memory used: 7.752037048339844
cpu: 20.2%， 总memory: 16 占用率 48.6%， memory used: 7.753395080566406
cpu: 19.3%， 总memory: 16 占用率 48.6%， memory used: 7.753284454345703
cpu: 19.2%， 总memory: 16 占用率 48.6%， memory used: 7.753238677978516
cpu: 18.0%， 总memory: 16 占用率 48.6%， memory used: 7.753227233886719
cpu: 19.3%， 总memory: 16 占用率 48.6%， memory used: 7.753482818603516
cpu: 19.8%， 总memory: 16 占用率 48.7%， memory used: 7.755950927734375
cpu: 18.0%， 总memory: 16 占用率 48.7%， memory used: 7.755931854248047
cpu: 17.7%， 总memory: 16 占用率 48.7%， memory used: 7.75592041015625
cpu: 17.5%， 总memory: 16 占用率 48.7%， memory used: 7.755893707275391
cpu: 19.9%， 总memory: 16 占用率 48.7%， memory used: 7.7559967041015625
cpu: 21.7%， 总memory: 16 占用率 48.7%， memory used: 7.759708404541016
cpu: 18.0%， 总memory: 16 占用率 48.7%， memory used: 7.759635925292969
cpu: 17.9%， 总memory: 16 占用率 48.7%， memory used: 7.759605407714844
cpu: 18.5%， 总memory: 16 占用率 48.7%， memory used: 7.759559631347656
cpu: 17.1%， 总memory: 16 占用率 48.7%， memory used: 7.759529113769531
cpu: 19.9%， 总memory: 16 占用率 48.7%， memory used: 7.762046813964844
cpu: 17.3%， 总memory: 16 占用率 48.7%， memory used: 7.761730194091797
cpu: 18.9%， 总memory: 16 占用率 48.7%， memory used: 7.76141357421875
cpu: 19.2%， 总memory: 16 占用率 48.7%， memory used: 7.761379241943359
cpu: 18.1%， 总memory: 16 占用率 48.7%， memory used: 7.761444091796875
cpu: 23.1%， 总memory: 16 占用率 48.7%， memory used: 7.762775421142578
cpu: 19.5%， 总memory: 16 占用率 48.7%， memory used: 7.762901306152344
cpu: 19.3%， 总memory: 16 占用率 48.7%， memory used: 7.76287841796875
cpu: 17.9%， 总memory: 16 占用率 48.7%， memory used: 7.7628936767578125
cpu: 18.3%， 总memory: 16 占用率 48.7%， memory used: 7.762798309326172
cpu: 19.5%， 总memory: 16 占用率 48.7%， memory used: 7.763805389404297
cpu: 18.8%， 总memory: 16 占用率 48.7%， memory used: 7.763710021972656
cpu: 17.7%， 总memory: 16 占用率 48.7%， memory used: 7.763698577880859
cpu: 17.4%， 总memory: 16 占用率 48.7%， memory used: 7.763679504394531
cpu: 21.1%， 总memory: 16 占用率 48.7%， memory used: 7.763648986816406
cpu: 16.9%， 总memory: 16 占用率 48.7%， memory used: 7.765583038330078
cpu: 19.7%， 总memory: 16 占用率 48.7%， memory used: 7.765464782714844
cpu: 17.8%， 总memory: 16 占用率 48.7%， memory used: 7.7654266357421875
cpu: 20.6%， 总memory: 16 占用率 48.7%， memory used: 7.765361785888672
cpu: 18.4%， 总memory: 16 占用率 48.7%， memory used: 7.765289306640625
cpu: 21.1%， 总memory: 16 占用率 48.7%， memory used: 7.767093658447266
cpu: 17.9%， 总memory: 16 占用率 48.7%， memory used: 7.766876220703125
cpu: 19.5%， 总memory: 16 占用率 48.7%， memory used: 7.7668914794921875
cpu: 21.2%， 总memory: 16 占用率 48.7%， memory used: 7.766876220703125
cpu: 20.9%， 总memory: 16 占用率 48.7%， memory used: 7.767070770263672
